round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_000\input.ll,7f0c909b3d4b2c2a666c9a36515adce036ab565bdfd5bfc78f24dedecdc38907,1673.5,966,13,,,,adce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;mem2reg;sccp;simplifycfg;sroa,"adce,instcombine;early-cse,gvn;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,mem2reg;early-cse,sccp;early-cse,simplifycfg;early-cse,sroa;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,instcombine;indvars,licm;indvars,mem2reg;indvars,simplifycfg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,loop-simplify;instcombine,loop-unroll;instcombine,mem2reg;instcombine,sccp;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,mem2reg;licm,simplifycfg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-simplify,simplifycfg;loop-unroll,mem2reg;loop-unroll,simplifycfg;loop-unroll,sroa;mem2reg,simplifycfg;mem2reg,sroa;simplifycfg,sroa",oracle_ordered_pair,"mem2reg,early-cse",oracle chose mem2reg->early-cse (improvement: 689.00),0c3434889e51dc69709374288e3d43f04c6d48f0bfd7ba75d8a1214d23a526eb,984.5,-689.0,true
1,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_001\input.ll,0c3434889e51dc69709374288e3d43f04c6d48f0bfd7ba75d8a1214d23a526eb,984.5,592,15,,,,adce;dce;early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"adce,instcombine;adce,sccp;adce,simplifycfg;dce,sccp;dce,simplifycfg;early-cse,indvars;early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,sccp;early-cse,simplifycfg;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,sccp;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-simplify;instcombine,loop-unroll;instcombine,sccp;instcombine,simplifycfg;licm,loop-rotate;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg;mem2reg,sccp;mem2reg,simplifycfg;reassociate,sccp;reassociate,simplifycfg;sccp,sroa;simplifycfg,sroa",oracle_ordered_pair,"simplifycfg,adce",oracle chose simplifycfg->adce (improvement: 175.50),1ec5914eb3f7f7fba21ebdde248dc8fa08b3614f502b6cb056ccd26bfdede04f,809.0,-175.5,true
2,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_002\input.ll,1ec5914eb3f7f7fba21ebdde248dc8fa08b3614f502b6cb056ccd26bfdede04f,809.0,498,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;early-cse,simplifycfg;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,simplifycfg;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;instcombine,simplifycfg;licm,loop-rotate;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"instcombine,gvn",oracle chose instcombine->gvn (improvement: 14.00),035b78c0199ba65706401d604cca2f111c0a97267f69dd282fc0edab27c33f7c,795.0,-14.0,true
3,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_003\input.ll,035b78c0199ba65706401d604cca2f111c0a97267f69dd282fc0edab27c33f7c,795.0,489,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: -7.50),82b5527acdf4d6db26a3b7f95adcfd6c9fa0f2130437eae00f7ad2bf1c891df0,802.5,7.5,true
4,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_004\input.ll,82b5527acdf4d6db26a3b7f95adcfd6c9fa0f2130437eae00f7ad2bf1c891df0,802.5,494,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-unroll,early-cse",oracle chose loop-unroll->early-cse (improvement: 0.00),bccebc23acd848cbf763512e4e710dd12368cf6d002d0d6c767cc019beb48b28,802.5,0.0,true
5,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_005\input.ll,bccebc23acd848cbf763512e4e710dd12368cf6d002d0d6c767cc019beb48b28,802.5,494,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,sccp;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,gvn",oracle chose licm->gvn (improvement: -2.00),b77873beb00557a6306bb26081d07abadfd73a5726864e3a61c492e84703fe1c,804.5,2.0,true
6,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_006\input.ll,b77873beb00557a6306bb26081d07abadfd73a5726864e3a61c492e84703fe1c,804.5,496,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-unroll,gvn",oracle chose loop-unroll->gvn (improvement: 0.00),98d8b8ae43943889d8ce16d4776d830f00cdc922c9916c78da6d081071a75d5e,804.5,0.0,true
7,McGill_chomp,relaxed,0.9,results\paper_full\McGill_chomp\round_007\input.ll,98d8b8ae43943889d8ce16d4776d830f00cdc922c9916c78da6d081071a75d5e,804.5,496,10,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;sccp;simplifycfg,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;indvars,licm;indvars,loop-rotate;indvars,simplifycfg;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,sccp;licm,simplifycfg;loop-rotate,loop-unroll;loop-rotate,sccp;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 0.00),4d5ba813afd3b3c1fdeefb442b7494f4737c96e062beb08051a49626703abed5,804.5,0.0,true
