round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,Misc_flops_6,relaxed,0.9,results\paper_full\Misc_flops_6\round_000\input.ll,3abeb714336fa23f935883ed5a19828e7197969c405ff9b161ccef8ed4bd769d,352.0,177,14,,,adce;dce,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,mem2reg;early-cse,reassociate;early-cse,sroa;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,reassociate;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,sroa;licm,loop-rotate;licm,mem2reg;licm,reassociate;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-unroll,mem2reg;loop-unroll,sroa;mem2reg,reassociate;mem2reg,sccp;mem2reg,sroa;reassociate,sroa;sccp,sroa",oracle_ordered_pair,"gvn,instcombine",oracle chose gvn->instcombine (improvement: 149.50),5c3399ac69b061e93f3640bc2adf022fc06ebf645a61817798c89b119f7776b3,202.5,-149.5,true
1,Misc_flops_6,relaxed,0.9,results\paper_full\Misc_flops_6\round_001\input.ll,5c3399ac69b061e93f3640bc2adf022fc06ebf645a61817798c89b119f7776b3,202.5,96,7,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll",oracle_ordered_pair,"loop-rotate,gvn",oracle chose loop-rotate->gvn (improvement: 27.50),19f92bcbce2a7d6517999eae7a3a3bdbce3c794bc07f69eccfe1477ab2bdf6da,175.0,-27.5,true
2,Misc_flops_6,relaxed,0.9,results\paper_full\Misc_flops_6\round_002\input.ll,19f92bcbce2a7d6517999eae7a3a3bdbce3c794bc07f69eccfe1477ab2bdf6da,175.0,82,7,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll",oracle_ordered_pair,"indvars,early-cse",oracle chose indvars->early-cse (improvement: 0.00),75f2ed3f1123bb97a08e0aea21d6d57211850a68344a0c8b3210f0cb0825d08c,175.0,0.0,true
3,Misc_flops_6,relaxed,0.9,results\paper_full\Misc_flops_6\round_003\input.ll,75f2ed3f1123bb97a08e0aea21d6d57211850a68344a0c8b3210f0cb0825d08c,175.0,82,7,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll",oracle_ordered_pair,"licm,early-cse",oracle chose licm->early-cse (improvement: 0.00),4eec936f95509415c5e6e908d4b1d68e5690e0ca4973934b85590167593e8987,175.0,0.0,true
4,Misc_flops_6,relaxed,0.9,results\paper_full\Misc_flops_6\round_004\input.ll,4eec936f95509415c5e6e908d4b1d68e5690e0ca4973934b85590167593e8987,175.0,82,7,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll",oracle_ordered_pair,"loop-rotate,early-cse",oracle chose loop-rotate->early-cse (improvement: 0.00),eda8f9b92cbb43b9d7644fb1aeaa6e913b02737a882067757f73d4132a5dc9fd,175.0,0.0,true
5,Misc_flops_6,relaxed,0.9,results\paper_full\Misc_flops_6\round_005\input.ll,eda8f9b92cbb43b9d7644fb1aeaa6e913b02737a882067757f73d4132a5dc9fd,175.0,82,7,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll",oracle_ordered_pair,"loop-unroll,early-cse",oracle chose loop-unroll->early-cse (improvement: 0.00),3e1b575377f5833dafe8b4840560c973a68e645fbf12df07789f41595492e765,175.0,0.0,true
6,Misc_flops_6,relaxed,0.9,results\paper_full\Misc_flops_6\round_006\input.ll,3e1b575377f5833dafe8b4840560c973a68e645fbf12df07789f41595492e765,175.0,82,7,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll,"early-cse,indvars;early-cse,licm;early-cse,loop-rotate;early-cse,loop-unroll;gvn,indvars;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;indvars,instcombine;instcombine,licm;instcombine,loop-rotate;instcombine,loop-unroll",oracle_ordered_pair,"indvars,early-cse",oracle chose indvars->early-cse (improvement: 0.00),700793d1ef552178fed12f16c7202b62c9d2b2a63e75200301390685b0c81974,175.0,0.0,true
