round,benchmark,scheduler_mode,independence_threshold,input_ir,input_hash,metric_score,instruction_count,candidate_pass_count,auto_safe_passes,candidate_safe_passes,blocked_passes,decision_required_passes,decision_required_pairs,selected_action_kind,selected_action,action_details,output_hash,metric_after,metric_delta,changed
0,Stanford_Towers,relaxed,0.9,results\paper_full\Stanford_Towers\round_000\input.ll,9d35821c316f1e843e018261957d12b949f6b8b00aeb127425cdb1d6a2a3f3d4,434.0,266,12,,,,early-cse;gvn;indvars;instcombine;licm;loop-rotate;loop-unroll;mem2reg;reassociate;sccp;simplifycfg;sroa,"early-cse,instcombine;early-cse,licm;early-cse,loop-rotate;early-cse,mem2reg;early-cse,reassociate;early-cse,sccp;early-cse,sroa;gvn,indvars;gvn,instcombine;gvn,licm;gvn,loop-rotate;gvn,loop-unroll;gvn,mem2reg;gvn,reassociate;gvn,sccp;gvn,simplifycfg;gvn,sroa;indvars,licm;indvars,mem2reg;indvars,sroa;instcombine,licm;instcombine,loop-rotate;instcombine,mem2reg;instcombine,reassociate;instcombine,simplifycfg;instcombine,sroa;licm,loop-rotate;licm,mem2reg;licm,sroa;loop-rotate,mem2reg;loop-rotate,simplifycfg;loop-rotate,sroa;loop-unroll,mem2reg;loop-unroll,sroa;mem2reg,reassociate;mem2reg,simplifycfg;reassociate,sroa;simplifycfg,sroa",oracle_ordered_pair,"gvn,instcombine",oracle chose gvn->instcombine (improvement: 222.00),fc77977d40577ee50ebdaf3dfdfa8fea09cd4cce998dd3263c940be7321ced57,212.0,-222.0,true
1,Stanford_Towers,relaxed,0.9,results\paper_full\Stanford_Towers\round_001\input.ll,fc77977d40577ee50ebdaf3dfdfa8fea09cd4cce998dd3263c940be7321ced57,212.0,132,8,,,,gvn;indvars;instcombine;loop-rotate;loop-unroll;reassociate;sccp;simplifycfg,"gvn,loop-unroll;indvars,instcombine;instcombine,loop-rotate;instcombine,loop-unroll;instcombine,reassociate;loop-rotate,loop-unroll;loop-rotate,simplifycfg;loop-unroll,sccp;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,simplifycfg",oracle chose loop-rotate->simplifycfg (improvement: 7.50),9bff621eb35ad4cdc5ebc04c7a2fd1ee44fa164f344678ae1d6a7b24cb5e5be5,204.5,-7.5,true
2,Stanford_Towers,relaxed,0.9,results\paper_full\Stanford_Towers\round_002\input.ll,9bff621eb35ad4cdc5ebc04c7a2fd1ee44fa164f344678ae1d6a7b24cb5e5be5,204.5,127,10,,,sccp,gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;simplifycfg,"gvn,loop-unroll;indvars,instcombine;indvars,simplifycfg;instcombine,reassociate;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"indvars,simplifycfg",oracle chose indvars->simplifycfg (improvement: 0.00),9ee4081c55efca01bf8bcf9864b824088ab344bb8af36b3a14e76357fb9fb69b,204.5,0.0,true
3,Stanford_Towers,relaxed,0.9,results\paper_full\Stanford_Towers\round_003\input.ll,9ee4081c55efca01bf8bcf9864b824088ab344bb8af36b3a14e76357fb9fb69b,204.5,127,10,,,sccp,gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;simplifycfg,"gvn,loop-unroll;indvars,simplifycfg;instcombine,reassociate;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"reassociate,instcombine",oracle chose reassociate->instcombine (improvement: 0.00),ec1b016e2b4de827cf6360495d29228c80ef4e88031af9e3e873adc6f465c9bd,204.5,0.0,true
4,Stanford_Towers,relaxed,0.9,results\paper_full\Stanford_Towers\round_004\input.ll,ec1b016e2b4de827cf6360495d29228c80ef4e88031af9e3e873adc6f465c9bd,204.5,127,10,,,sccp,gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;simplifycfg,"gvn,loop-unroll;indvars,simplifycfg;instcombine,reassociate;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"licm,simplifycfg",oracle chose licm->simplifycfg (improvement: 0.00),f518be54476f4c466fe88e8d37689b3897a1e40f3f987dbb53f5fa9a72997083,204.5,0.0,true
5,Stanford_Towers,relaxed,0.9,results\paper_full\Stanford_Towers\round_005\input.ll,f518be54476f4c466fe88e8d37689b3897a1e40f3f987dbb53f5fa9a72997083,204.5,127,10,,,sccp,gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;simplifycfg,"gvn,loop-unroll;indvars,simplifycfg;instcombine,reassociate;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"loop-rotate,simplifycfg",oracle chose loop-rotate->simplifycfg (improvement: 0.00),627603e2369156c3d678fa8bc04588c7ad1776198b1d1aa45c369bf6ad532e62,204.5,0.0,true
6,Stanford_Towers,relaxed,0.9,results\paper_full\Stanford_Towers\round_006\input.ll,627603e2369156c3d678fa8bc04588c7ad1776198b1d1aa45c369bf6ad532e62,204.5,127,10,,,sccp,gvn;indvars;instcombine;licm;loop-rotate;loop-simplify;loop-unroll;reassociate;simplifycfg,"gvn,loop-unroll;indvars,simplifycfg;instcombine,reassociate;licm,simplifycfg;loop-rotate,simplifycfg;loop-simplify,simplifycfg;loop-unroll,simplifycfg",oracle_ordered_pair,"indvars,simplifycfg",oracle chose indvars->simplifycfg (improvement: 0.00),095e3553be2d6f5dcfd1971472d5169d3c912f0293ae79598237acee47b7617a,204.5,0.0,true
