pass_a,pass_b,commute,ab_path,ba_path,details
early-cse,loop-rotate,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\early-cse__then__loop-rotate.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-rotate__then__early-cse.ll,
early-cse,licm,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\early-cse__then__licm.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\licm__then__early-cse.ll,
early-cse,indvars,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\early-cse__then__indvars.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\indvars__then__early-cse.ll,
early-cse,loop-unroll,false,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\early-cse__then__loop-unroll.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-unroll__then__early-cse.ll,"in function Innerproduct:
  in block %6 / %6:
    >   %7 = phi i32 [ 0, %5 ], [ %31, %23 ]
    >   %8 = phi i32 [ 1, %5 ], [ %32, %23 ]
    <   %7 = phi i32 [ 0, %5 ], [ %34, %23 ]
    <   %8 = phi i32 [ 1, %5 ], [ %35, %23 ]
  in block %23 / %23:
    <   %24 = sext i32 %3 to i64
    <   %25 = getelementptr inbounds [164 x i8], ptr %1, i64 %24
        %26 = zext nneg i32 %22 to i64
    >   %25 = getelementptr inbounds nuw [4 x i8], ptr %12, i64 %24
    >   %26 = load i32, ptr %25, align 4
    <   %27 = getelementptr inbounds nuw [4 x i8], ptr %25, i64 %26
    <   %28 = load i32, ptr %27, align 4
        %29 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %26
    >   %28 = getelementptr inbounds [4 x i8], ptr %27, i64 %17
    >   %29 = load i32, ptr %28, align 4
    >   %30 = mul nsw i32 %26, %29
    >   %31 = add nsw i32 %21, %30
    >   store i32 %31, ptr %0, align 4
    <   %30 = sext i32 %4 to i64
    <   %31 = getelementptr inbounds [4 x i8], ptr %29, i64 %30
    <   %32 = load i32, ptr %31, align 4
    <   %33 = mul nsw i32 %28, %32
    <   %34 = add nsw i32 %21, %33
    <   store i32 %34, ptr %0, align 4"
gvn,sccp,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\gvn__then__sccp.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\sccp__then__gvn.ll,
gvn,loop-simplify,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\gvn__then__loop-simplify.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-simplify__then__gvn.ll,
gvn,loop-rotate,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\gvn__then__loop-rotate.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-rotate__then__gvn.ll,
gvn,licm,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\gvn__then__licm.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\licm__then__gvn.ll,
gvn,indvars,true,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\gvn__then__indvars.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\indvars__then__gvn.ll,
gvn,loop-unroll,false,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\gvn__then__loop-unroll.ll,results\paper_full\Stanford_IntMM\round_001\analysis\Stanford_IntMM\commutativity\loop-unroll__then__gvn.ll,"in function Innerproduct:
  in block %6 / %6:
    >   %7 = phi i32 [ 0, %5 ], [ %30, %10 ]
    >   %8 = phi i32 [ 1, %5 ], [ %31, %10 ]
    <   %7 = phi i32 [ 0, %5 ], [ %34, %23 ]
    <   %8 = phi i32 [ 1, %5 ], [ %35, %23 ]
  in block %10 / %10:
    in instruction   br label %23 /   br label %6, !llvm.loop !7:
      successor %23 cannot be equivalent to %6; it's already equivalent to %10
    >   %23 = zext nneg i32 %22 to i64
    >   %24 = getelementptr inbounds nuw [4 x i8], ptr %12, i64 %23
    >   %25 = load i32, ptr %24, align 4
    >   %26 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %23
    >   %27 = getelementptr inbounds [4 x i8], ptr %26, i64 %17
    >   %28 = load i32, ptr %27, align 4
    >   %29 = mul nsw i32 %25, %28
    >   %30 = add nsw i32 %21, %29
    >   store i32 %30, ptr %0, align 4
    >   %31 = add nuw nsw i32 %8, 2
  in block %23 / %10:
    >   %13 = zext nneg i32 %8 to i64
    >   %14 = getelementptr inbounds nuw [4 x i8], ptr %12, i64 %13
    >   %15 = load i32, ptr %14, align 4
    >   %16 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %13
    >   %17 = sext i32 %4 to i64
    >   %18 = getelementptr inbounds [4 x i8], ptr %16, i64 %17
    >   %19 = load i32, ptr %18, align 4
    >   %20 = mul nsw i32 %15, %19
    >   %21 = add nsw i32 %7, %20
    >   store i32 %21, ptr %0, align 4
    >   %22 = add nuw nsw i32 %8, 1
        %26 = zext nneg i32 %22 to i64
        %27 = getelementptr inbounds nuw [4 x i8], ptr %25, i64 %26
        %28 = load i32, ptr %27, align 4
        %29 = getelementptr inbounds nuw [164 x i8], ptr %2, i64 %26
    <   %30 = sext i32 %4 to i64

in function main:
  in block %0 / %0:
    >   call void @Intmm(i32 noundef 0)
    >   call void @Intmm(i32 noundef 1)
    >   call void @Intmm(i32 noundef 2)
    >   call void @Intmm(i32 noundef 3)
    >   call void @Intmm(i32 noundef 4)
    >   call void @Intmm(i32 noundef 5)
    >   call void @Intmm(i32 noundef 6)
    >   call void @Intmm(i32 noundef 7)
    >   call void @Intmm(i32 noundef 8)
    >   call void @Intmm(i32 noundef 9)
    >   br i1 false, label %1, label %2
    <   br label %1"
